year,month,ind,rain,gdf,rd,wd
2011,6,0,65.0,15.6,19,13
2011,7,0,43.1,6.1, , 
2011,8,0,122.8,21.9,22,18
2011,9,0,170.7, ,26,23
2011,10,1,192.2, ,30,23
2011,11,0,144.9,34.7,23,19
2011,12,0,178.2,21.4,31,29
2012,1,0,131.0,21.7,25,19
2012,2,0,124.4, , , 
2012,3,0,56.9,13.8,17,10
2012,4,0,63.5,17.7,20,16
2012,5,0,73.8,19.2,18,14
2012,6,0,111.9,23.4,23,17
2012,7,1,98.6, , , 
2012,8,0,172.3,40.6,26,21
2012,9,0,80.6, ,25,19
2012,10,0,100.9,19.1,19,14
2012,11,0,179.9,26.6,27,24
2012,12,0,139.7, ,30,23
2013,1,0,228.6,41.3,31,24
2013,2,0,67.0,13.4,17,12
2013,3,0,26.8,5.0,10,8
2013,4,0,81.4,12.9,19,13
2013,6,0,88.8,24.1,18,12
2013,7,0,93.0,15.3,15,12
2013,8,0,91.4,21.8,25,19
2013,9,0,74.0,12.9,22,15
2013,10,0,126.9,18.4,25,17
2013,11,0,58.8,12.1,21,15
2013,12,0,218.8,24.1,28,24
2014,1,0,293.8,30.9,31,29
2014,2,0,240.9,37.6,28,25
2014,3,0,88.6,13.0,26,16
2014,4,0,58.1,19.8,19,10
2014,5,0,123.8,29.3,22,17
2014,6,0,35.7,15.4,13,7
2014,7,0,80.0,20.1,24,14
2014,8,0,91.6,25.1,21,15
2014,9,0,14.4,4.5,9,7
2014,10,0,168.0,36.8,28,23
2014,12,0,150.6,15.7,30,25
2015,1,0,166.3,27.3,29,25
2015,2,0,108.9,18.1,20,16
2015,3,0,113.6,17.3,22,15
2015,4,0,52.8,14.7,13,10
2015,5,0,113.2,15.8,26,19
2015,6,0,68.8,14.2,15,11
2015,7,0,112.0,16.3,23,22
2015,8,0,116.7,27.7,21,18
2015,9,0,215.0,107.2,13,11
2015,10,0,75.7,28.0,16,15
2015,11,0,177.5,21.4,27,25
2015,12,0,271.1,31.9,31,29
2016,1,0,201.5,28.3,30,27
2016,2,0,189.5,25.1,27,22
2016,4,0,72.5,10.6,21,12
2016,5,0,50.9,9.2,15,12
2016,6,0,92.5,18.4,21,15
2016,7,0,103.6,17.1,29,18
2016,8,0,120.0,35.3,20,16
2016,9,0,236.8,58.9,25,21
2016,10,0,68.0,26.1,17,11
2016,11,0,90.1,25.9,20,15
2016,12,0,90.1,17.3,22,16
2017,1,0,78.3,11.7,24,17
2017,2,0,124.3,15.3,23,20
2017,3,0,141.1,22.4,24,23
2017,4,0,25.6,11.3,14,5
2017,5,0,73.3,18.5,13,11
2017,6,0,104.7,16.7,24,17
2017,7,0,125.2,24.8,23,16
2017,8,0,190.0,55.6,27,21
2017,9,0,156.9,21.2,26,20
2017,10,0,148.7,21.4,28,20
2017,11,0,127.6,17.4,28,24
2017,12,0,197.3,23.5,31,27
2018,1,0,200.6,21.1,28,24
2018,2,0,116.1,15.2,19,17
2018,3,0,77.2,17.9,22,17
2018,4,0,118.1,24.7,21,14
2018,5,0,91.3,22.8,16,13
2018,6,0,49.6,17.1,9,6
2018,7,0,65.9,18.1,19,10
2018,8,0,153.5,19.3,27,23
2018,9,0,159.0,59.8,24,20
2018,10,0,119.5,29.3,25,21
2018,11,0,177.7,33.7,23,18
2018,12,0,209.8,33.2,28,22
2019,1,0,102.2,10.8,27,19
2019,2,0,138.2,22.4,27,22
2019,3,0,153.8,23.1,24,21
2019,4,0,80.9,13.5,19,13
2019,5,0,77.2,24.1,15,11
2019,6,0,67.1,13.8,20,12
2019,7,0,97.0,25.5,21,16
2019,8,0,220.4,41.1,28,22
2019,9,0,123.3,19.4,24,18
2019,10,0,122.2,14.2,26,22
2019,11,0,140.0,20.5,24,17
2019,12,0,116.9,13.3,26,20
2020,1,0,150.6,29.3,28,26
2020,2,0,243.4,40.3,27,26
2020,3,0,144.6,17.1,24,20
2020,4,0,26.3,7.6,10,6
2020,5,0,38.1,11.6,12,9
2020,6,0,107.6,38.5,16,9
2020,7,0,169.3,24.5,25,17
2020,8,0,130.0,20.9,22,14
2020,9,0,144.6,60.1,19,13
2020,10,0,199.1,43.6,26,24
2020,11,0,196.6,43.1,27,21
2020,12,0,191.8,25.7,30,24
2021,1,0,164.7,34.4,27,21
2021,2,0,156.9,23.7,22,18
2021,3,0,87.5,14.1,22,18
2021,4,0,48.9,24.7,13,7
2021,5,0,131.2,21.4,23,18
